# phi  e_band1  e_band2  e_band3  e_band4
1.477287190782594073e-01 -6.372154875426774834e-02 -5.663342500490253090e-02 5.836907312505030393e-02 6.186819387495558209e-02
1.508718833139670590e-01 -6.377778247752687035e-02 -5.657715997468634739e-02 5.831146474904954496e-02 6.192327284930099901e-02
1.540150475496747107e-01 -6.383400041394694802e-02 -5.652088350298400954e-02 5.825384313786011181e-02 6.197833822923339703e-02
1.571582117853823346e-01 -6.389020253424936013e-02 -5.646459561024987778e-02 5.819620831562755114e-02 6.203338999014692406e-02
1.603013760210899863e-01 -6.394638880909377099e-02 -5.640829631690157803e-02 5.813856030645207784e-02 6.208842810738619128e-02
1.634445402567976380e-01 -6.400255920907800544e-02 -5.635198564332000865e-02 5.808089913438897051e-02 6.214345255624596082e-02
1.665877044925052897e-01 -6.405871370473788240e-02 -5.629566360984965961e-02 5.802322482344844656e-02 6.219846331197105560e-02
1.697308687282129414e-01 -6.411485226654689562e-02 -5.623933023679850846e-02 5.796553739759591206e-02 6.225346034975623444e-02
1.728740329639205930e-01 -6.417097486491613045e-02 -5.618298554443821452e-02 5.790783688075219759e-02 6.230844364474599079e-02
1.760171971996282170e-01 -6.422708147019395852e-02 -5.612662955300427164e-02 5.785012329679346116e-02 6.236341317203437234e-02
1.791603614353358687e-01 -6.428317205266591283e-02 -5.607026228269602203e-02 5.779239666955157673e-02 6.241836890666484922e-02
1.823035256710435204e-01 -6.433924658255439633e-02 -5.601388375367684358e-02 5.773465702281409956e-02 6.247331082363020982e-02
1.854466899067511720e-01 -6.439530503001859862e-02 -5.595749398607417074e-02 5.767690438032445355e-02 6.252823889787227640e-02
1.885898541424588237e-01 -6.445134736515412133e-02 -5.590109299997972347e-02 5.761913876578207000e-02 6.258315310428179401e-02
1.917330183781664754e-01 -6.450737355799292250e-02 -5.584468081544950030e-02 5.756136020284250560e-02 6.263805341769836110e-02
1.948761826138740993e-01 -6.456338357850305298e-02 -5.578825745250394486e-02 5.750356871511762974e-02 6.269293981291015894e-02
1.980193468495817510e-01 -6.461937739658833724e-02 -5.573182293112799446e-02 5.744576432617569395e-02 6.274781226465372952e-02
2.011625110852894027e-01 -6.467535498208838718e-02 -5.567537727127129521e-02 5.738794705954142900e-02 6.280267074761401724e-02
2.043056753209970544e-01 -6.473131630477817200e-02 -5.561892049284813261e-02 5.733011693869633635e-02 6.285751523642400806e-02
2.074488395567047061e-01 -6.478726133436790713e-02 -5.556245261573768829e-02 5.727227398707863959e-02 6.291234570566466011e-02
2.105920037924123300e-01 -6.484319004050285995e-02 -5.550597365978413716e-02 5.721441822808349953e-02 6.296716212986472327e-02
2.137351680281199817e-01 -6.489910239276308612e-02 -5.544948364479665437e-02 5.715654968506318767e-02 6.302196448350053104e-02
2.168783322638276334e-01 -6.495499836066317978e-02 -5.539298259054953322e-02 5.709866838132710010e-02 6.307675274099591722e-02
2.200214964995352851e-01 -6.501087791365217639e-02 -5.533647051678237255e-02 5.704077434014200032e-02 6.313152687672192453e-02
2.231646607352429368e-01 -6.506674102111320579e-02 -5.527994744320016002e-02 5.698286758473207481e-02 6.318628686499677682e-02
2.263078249709505885e-01 -6.512258765236336733e-02 -5.522341338947324429e-02 5.692494813827912031e-02 6.324103268008560153e-02
2.294509892066582124e-01 -6.517841777665348002e-02 -5.516686837523763348e-02 5.686701602392259247e-02 6.329576429620027700e-02
2.325941534423658641e-01 -6.523423136316779114e-02 -5.511031242009494652e-02 5.680907126475980701e-02 6.335048168749932151e-02
2.357373176780735158e-01 -6.529002838102386519e-02 -5.505374554361256584e-02 5.675111388384606464e-02 6.340518482808767120e-02
2.388804819137811675e-01 -6.534580879927229247e-02 -5.499716776532374146e-02 5.669314390419469968e-02 6.345987369201647188e-02
2.420236461494888192e-01 -6.540157258689650865e-02 -5.494057910472770895e-02 5.663516134877730895e-02 6.351454825328298193e-02
2.451668103851964708e-01 -6.545731971281253114e-02 -5.488397958128974491e-02 5.657716624052379351e-02 6.356920848583040573e-02
2.483099746209040948e-01 -6.551305014586876474e-02 -5.482736921444126416e-02 5.651915860232253896e-02 6.362385436354757451e-02
2.514531388566117465e-01 -6.556876385484572411e-02 -5.477074802358001399e-02 5.646113845702050577e-02 6.367848586026897406e-02
2.545963030923193982e-01 -6.562446080845590890e-02 -5.471411602807003255e-02 5.640310582742341650e-02 6.373310294977442558e-02
2.577394673280270498e-01 -6.568014097534342899e-02 -5.465747324724180845e-02 5.634506073629576978e-02 6.378770560578896076e-02
2.608826315637347015e-01 -6.573580432408390739e-02 -5.460081970039248195e-02 5.628700320636106230e-02 6.384229380198262749e-02
2.640257957994423532e-01 -6.579145082318421656e-02 -5.454415540678572705e-02 5.622893326030185823e-02 6.389686751197030945e-02
2.671689600351500049e-01 -6.584708044108217306e-02 -5.448748038565204982e-02 5.617085092075993491e-02 6.395142670931161510e-02
2.703121242708576566e-01 -6.590269314614639884e-02 -5.443079465618880231e-02 5.611275621033642858e-02 6.400597136751057237e-02
2.734552885065653083e-01 -6.595828890667604361e-02 -5.437409823756020333e-02 5.605464915159190376e-02 6.406050146001554535e-02
2.765984527422729045e-01 -6.601386769090054896e-02 -5.431739114889759523e-02 5.599652976704649204e-02 6.411501696021902619e-02
2.797416169779805561e-01 -6.606942946697946795e-02 -5.426067340929943694e-02 5.593839807918003781e-02 6.416951784145745463e-02
2.828847812136882078e-01 -6.612497420300213202e-02 -5.420394503783141499e-02 5.588025411043219537e-02 6.422400407701102376e-02
2.860279454493958595e-01 -6.618050186698745674e-02 -5.414720605352649901e-02 5.582209788320253302e-02 6.427847564010349957e-02
2.891711096851035112e-01 -6.623601242688376134e-02 -5.409045647538517076e-02 5.576392941985072044e-02 6.433293250390206830e-02
2.923142739208111629e-01 -6.629150585056846345e-02 -5.403369632237535469e-02 5.570574874269657722e-02 6.438737464151710055e-02
2.954574381565188146e-01 -6.634698210584788480e-02 -5.397692561343261225e-02 5.564755587402021864e-02 6.444180202600198470e-02
2.986006023922264663e-01 -6.640244116045693201e-02 -5.392014436746020434e-02 5.558935083606216659e-02 6.449621463035298818e-02
3.017437666279341180e-01 -6.645788298205891620e-02 -5.386335260332920233e-02 5.553113365102348847e-02 6.455061242750896600e-02
3.048869308636417697e-01 -6.651330753824533093e-02 -5.380655033987859215e-02 5.547290434106589424e-02 6.460499539035131911e-02
3.080300950993494213e-01 -6.656871479653557466e-02 -5.374973759591530204e-02 5.541466292831184054e-02 6.465936349170364750e-02
3.111732593350570175e-01 -6.662410472437668707e-02 -5.369291439021434131e-02 5.535640943484472498e-02 6.471371670433165302e-02
3.143164235707646692e-01 -6.667947728914314087e-02 -5.363608074151893224e-02 5.529814388270887227e-02 6.476805500094298673e-02
3.174595878064723209e-01 -6.673483245813659204e-02 -5.357923666854050304e-02 5.523986629390978398e-02 6.482237835418692973e-02
3.206027520421799726e-01 -6.679017019858556059e-02 -5.352238218995888225e-02 5.518157669041413166e-02 6.487668673665432373e-02
3.237459162778876243e-01 -6.684549047764531959e-02 -5.346551732442232641e-02 5.512327509414998578e-02 6.493098012087732129e-02
3.268890805135952760e-01 -6.690079326239750657e-02 -5.340864209054766581e-02 5.506496152700686431e-02 6.498525847932917765e-02
3.300322447493029276e-01 -6.695607851984992920e-02 -5.335175650692029065e-02 5.500663601083585069e-02 6.503952178442411192e-02
3.331754089850105793e-01 -6.701134621693637106e-02 -5.329486059209433829e-02 5.494829856744972568e-02 6.509377000851707118e-02
3.363185732207182310e-01 -6.706659632051624464e-02 -5.323795436459281133e-02 5.488994921862306448e-02 6.514800312390355008e-02
3.394617374564258827e-01 -6.712182879737439711e-02 -5.318103784290753588e-02 5.483158798609238244e-02 6.520222110281938266e-02
3.426049016921335344e-01 -6.717704361422076331e-02 -5.312411104549934898e-02 5.477321489155619061e-02 6.525642391744054804e-02
3.457480659278411861e-01 -6.723224073769024089e-02 -5.306717399079820957e-02 5.471482995667517613e-02 6.531061153988300394e-02
3.488912301635487823e-01 -6.728742013434239888e-02 -5.301022669720314995e-02 5.465643320307226466e-02 6.536478394220239518e-02
3.520343943992564339e-01 -6.734258177066107520e-02 -5.295326918308259495e-02 5.459802465233274532e-02 6.541894109639403987e-02
3.551775586349640856e-01 -6.739772561305437670e-02 -5.289630146677418154e-02 5.453960432600437475e-02 6.547308297439245750e-02
3.583207228706717373e-01 -6.745285162785415178e-02 -5.283932356658505025e-02 5.448117224559753669e-02 6.552720954807145226e-02
3.614638871063793890e-01 -6.750795978131596264e-02 -5.278233550079187292e-02 5.442272843258525589e-02 6.558132078924369668e-02
3.646070513420870407e-01 -6.756305003961857181e-02 -5.272533728764088046e-02 5.436427290840342708e-02 6.563541666966064836e-02
3.677502155777946924e-01 -6.761812236886394212e-02 -5.266832894534802245e-02 5.430580569445082884e-02 6.568949716101230019e-02
3.708933798135023441e-01 -6.767317673507677878e-02 -5.261131049209907817e-02 5.424732681208925544e-02 6.574356223492695828e-02
3.740365440492099958e-01 -6.772821310420432117e-02 -5.255428194604958719e-02 5.418883628264369035e-02 6.579761186297111708e-02
3.771797082849176475e-01 -6.778323144211613471e-02 -5.249724332532517551e-02 5.413033412740230615e-02 6.585164601664912631e-02
3.803228725206252991e-01 -6.783823171460375001e-02 -5.244019464802140984e-02 5.407182036761665200e-02 6.590566466740313545e-02
3.834660367563329508e-01 -6.789321388738044083e-02 -5.238313593220406128e-02 5.401329502450176456e-02 6.595966778661273289e-02
3.866092009920405470e-01 -6.794817792608093265e-02 -5.232606719590904287e-02 5.395475811923620274e-02 6.601365534559486270e-02
3.897523652277481987e-01 -6.800312379626116677e-02 -5.226898845714262470e-02 5.389620967296224890e-02 6.606762731560354707e-02
3.928955294634558504e-01 -6.805805146339799494e-02 -5.221189973388146166e-02 5.383764970678591583e-02 6.612158366782967811e-02
3.960386936991635021e-01 -6.811296089288892963e-02 -5.215480104407260037e-02 5.377907824177717566e-02 6.617552437340082361e-02
3.991818579348711538e-01 -6.816785205005181092e-02 -5.209769240563374981e-02 5.372049529896993914e-02 6.622944940338103270e-02
4.023250221705788054e-01 -6.822272490012457058e-02 -5.204057383645316337e-02 5.366190089936224289e-02 6.628335872877058610e-02
4.054681864062864571e-01 -6.827757940826499616e-02 -5.198344535438989555e-02 5.360329506391631887e-02 6.633725232050578791e-02
4.086113506419941088e-01 -6.833241553955039793e-02 -5.192630697727373956e-02 5.354467781355874006e-02 6.639113014945878521e-02
4.117545148777017605e-01 -6.838723325897728966e-02 -5.186915872290542157e-02 5.348604916918046903e-02 6.644499218643729055e-02
4.148976791134094122e-01 -6.844203253146123600e-02 -5.181200060905662153e-02 5.342740915163698978e-02 6.649883840218442921e-02
4.180408433491170639e-01 -6.849681332183642224e-02 -5.175483265347006340e-02 5.336875778174841878e-02 6.655266876737850335e-02
4.211840075848246601e-01 -6.855157559485541841e-02 -5.169765487385966085e-02 5.331009508029962290e-02 6.660648325263272829e-02
4.243271718205323118e-01 -6.860631931518901272e-02 -5.164046728791047564e-02 5.325142106804027498e-02 6.666028182849506600e-02
4.274703360562399634e-01 -6.866104444742572588e-02 -5.158326991327892574e-02 5.319273576568497169e-02 6.671406446544803082e-02
4.306135002919476151e-01 -6.871575095607168615e-02 -5.152606276759277848e-02 5.313403919391337937e-02 6.676783113390834246e-02
4.337566645276552668e-01 -6.877043880555021305e-02 -5.146884586845128229e-02 5.307533137337028945e-02 6.682158180422684279e-02
4.368998287633629185e-01 -6.882510796020165078e-02 -5.141161923342524309e-02 5.301661232466575030e-02 6.687531644668821829e-02
4.400429929990705702e-01 -6.887975838428296582e-02 -5.135438288005704510e-02 5.295788206837511586e-02 6.692903503151073630e-02
4.431861572347782219e-01 -6.893439004196753872e-02 -5.129713682586087287e-02 5.289914062503921904e-02 6.698273752884610632e-02
4.463293214704858736e-01 -6.898900289734483104e-02 -5.123988108832260024e-02 5.284038801516443423e-02 6.703642390877916080e-02
4.494724857061935253e-01 -6.904359691442003844e-02 -5.118261568490003327e-02 5.278162425922276746e-02 6.709009414132770244e-02
4.526156499419011769e-01 -6.909817205711392407e-02 -5.112534063302288240e-02 5.272284937765199520e-02 6.714374819644224057e-02
4.557588141776088286e-01 -6.915272828926238846e-02 -5.106805595009293597e-02 5.266406339085570598e-02 6.719738604400575521e-02
4.589019784133164248e-01 -6.920726557461624739e-02 -5.101076165348405328e-02 5.260526631920344615e-02 6.725100765383348889e-02
4.620451426490240765e-01 -6.926178387684088500e-02 -5.095345776054226866e-02 5.254645818303083082e-02 6.730461299567272460e-02
4.651883068847317282e-01 -6.931628315951604558e-02 -5.089614428858593720e-02 5.248763900263958559e-02 6.735820203920252214e-02
4.683314711204393799e-01 -6.937076338613534787e-02 -5.083882125490573473e-02 5.242880879829771301e-02 6.741177475403349606e-02
4.714746353561470316e-01 -6.942522452010618794e-02 -5.078148867676467865e-02 5.236996759023952036e-02 6.746533110970757974e-02
4.746177995918546832e-01 -6.947966652474929505e-02 -5.072414657139846100e-02 5.231111539866575844e-02 6.751887107569784496e-02
4.777609638275623349e-01 -6.953408936329844026e-02 -5.066679495601515010e-02 5.225225224374373950e-02 6.757239462140815500e-02
4.809041280632699866e-01 -6.958849299890024209e-02 -5.060943384779563459e-02 5.219337814560738587e-02 6.762590171617301193e-02
4.840472922989776383e-01 -6.964287739461366700e-02 -5.055206326389345001e-02 5.213449312435736172e-02 6.767939232925734849e-02
4.871904565346852900e-01 -6.969724251340983501e-02 -5.049468322143498694e-02 5.207559720006114251e-02 6.773286642985615336e-02
4.903336207703929417e-01 -6.975158831817175609e-02 -5.043729373751946327e-02 5.201669039275313988e-02 6.778632398709438789e-02
4.934767850061005934e-01 -6.980591477169387216e-02 -5.037989482921910456e-02 5.195777272243477796e-02 6.783976497002663919e-02
4.966199492418081896e-01 -6.986022183668187668e-02 -5.032248651357920655e-02 5.189884420907459051e-02 6.789318934763692581e-02
4.997631134775158412e-01 -6.991450947575229835e-02 -5.026506880761811430e-02 5.183990487260833890e-02 6.794659708883844795e-02
5.029062777132234929e-01 -6.996877765143222350e-02 -5.020764172832740263e-02 5.178095473293906764e-02 6.799998816247332378e-02
5.060494419489312001e-01 -7.002302632615901856e-02 -5.015020529267193855e-02 5.172199380993722229e-02 6.805336253731238128e-02
5.091926061846387963e-01 -7.007725546227988600e-02 -5.009275951758987433e-02 5.166302212344074662e-02 6.810672018205488065e-02
5.123357704203463925e-01 -7.013146502205169774e-02 -5.003530441999280709e-02 5.160403969325517981e-02 6.816006106532823683e-02
5.154789346560540997e-01 -7.018565496764053724e-02 -4.997784001676586207e-02 5.154504653915372575e-02 6.821338515568789451e-02
5.186220988917616959e-01 -7.023982526112146352e-02 -4.992036632476767877e-02 5.148604268087739189e-02 6.826669242161693962e-02
5.217652631274694031e-01 -7.029397586447815038e-02 -4.986288336083056355e-02 5.142702813813499613e-02 6.831998283152590501e-02
5.249084273631769992e-01 -7.034810673960249783e-02 -4.980539114176053828e-02 5.136800293060338196e-02 6.837325635375254840e-02
5.280515915988847064e-01 -7.040221784829447937e-02 -4.974788968433743047e-02 5.130896707792739070e-02 6.842651295656154709e-02
5.311947558345923026e-01 -7.045630915226154534e-02 -4.969037900531492191e-02 5.124992059972006270e-02 6.847975260814427589e-02
5.343379200703000098e-01 -7.051038061311853955e-02 -4.963285912142062495e-02 5.119086351556262349e-02 6.853297527661858513e-02
