# phi  e1(meV)  e2(meV)  e3(meV)  e4(meV)
0.000000000000000000e+00 -9.998488211700656825e-02 9.998488211700656825e-02
6.289474781961547356e-03 -9.997892186134327286e-02 9.997892186134532677e-02
1.257894956392309471e-02 -9.997197393596134185e-02 9.997197393596370107e-02
1.886842434588464207e-02 -9.996403857135707782e-02 9.996403857135975624e-02
2.515789912784618942e-02 -9.995511600770125293e-02 9.995511600770425054e-02
3.144737390980773678e-02 -9.994520649482865893e-02 9.994520649483196184e-02
3.773684869176928414e-02 -9.993431029222926698e-02 9.993431029223288908e-02
4.402632347373083149e-02 -9.992242766903933204e-02 9.992242766904327333e-02
5.031579825569237885e-02 -9.990955890403245554e-02 9.990955890403668826e-02
5.660527303765392620e-02 -9.989570428561039828e-02 9.989570428561496407e-02
6.289474781961547356e-02 -9.988086411179408763e-02 9.988086411179897262e-02
6.918422260157702786e-02 -9.986503869021422231e-02 9.986503869021939872e-02
7.547369738353856827e-02 -9.984822833810197418e-02 9.984822833810746978e-02
8.176317216550010869e-02 -9.983043338227963470e-02 9.983043338228543562e-02
8.805264694746166299e-02 -9.981165415915102535e-02 9.981165415915714545e-02
9.434212172942321728e-02 -9.979189101469199130e-02 9.979189101469841672e-02
1.006315965113847577e-01 -9.977114430444064541e-02 9.977114430444739002e-02
1.069210712933462981e-01 -9.974941439348769534e-02 9.974941439349474526e-02
1.132105460753078524e-01 -9.972670165646652096e-02 9.972670165647389007e-02
1.195000208572694067e-01 -9.970300647754333501e-02 9.970300647755100942e-02
1.257894956392309471e-01 -9.967832925040709391e-02 9.967832925041508751e-02
1.320789704211924875e-01 -9.965267037825947805e-02 9.965267037826777696e-02
1.383684452031540557e-01 -9.962603027380467768e-02 9.962603027381326803e-02
1.446579199851155961e-01 -9.959840935923912342e-02 9.959840935924801908e-02
1.509473947670771365e-01 -9.956980806624121660e-02 9.956980806625041758e-02
1.572368695490386770e-01 -9.954022683596083776e-02 9.954022683597035792e-02
1.635263443310002174e-01 -9.950966611900893821e-02 9.950966611901874981e-02
1.698158191129617856e-01 -9.947812637544682646e-02 9.947812637545695724e-02
1.761052938949233260e-01 -9.944560807477564879e-02 9.944560807478608488e-02
1.823947686768848664e-01 -9.941211169592556463e-02 9.941211169593631991e-02
1.886842434588464346e-01 -9.937763772724494959e-02 9.937763772725599631e-02
1.949737182408079750e-01 -9.934218666648950147e-02 9.934218666650085350e-02
2.012631930227695154e-01 -9.930575902081123507e-02 9.930575902082289241e-02
2.075526678047310558e-01 -9.926835530674749108e-02 9.926835530675946762e-02
2.138421425866925962e-01 -9.922997605020973666e-02 9.922997605022199075e-02
2.201316173686541644e-01 -9.919062178647232442e-02 9.919062178648491157e-02
2.264210921506157048e-01 -9.915029306016134858e-02 9.915029306017421329e-02
2.327105669325772452e-01 -9.910899042524307090e-02 9.910899042525625480e-02
2.390000417145388134e-01 -9.906671444501266577e-02 9.906671444502614110e-02
2.452895164965003538e-01 -9.902346569208257676e-02 9.902346569209634353e-02
2.515789912784618942e-01 -9.897924474837092867e-02 9.897924474838498687e-02
2.578684660604234624e-01 -9.893405220508991182e-02 9.893405220510427533e-02
2.641579408423849751e-01 -9.888788866273398592e-02 9.888788866274866862e-02
2.704474156243465433e-01 -9.884075473106807008e-02 9.884075473108304422e-02
2.767368904063081114e-01 -9.879265102911563567e-02 9.879265102913090124e-02
2.830263651882696241e-01 -9.874357818514671592e-02 9.874357818516227292e-02
2.893158399702311923e-01 -9.869353683666585997e-02 9.869353683668170840e-02
2.956053147521927049e-01 -9.864252763040004535e-02 9.864252763041619909e-02
3.018947895341542731e-01 -9.859055122228643775e-02 9.859055122230289681e-02
3.081842643161158413e-01 -9.853760827746016471e-02 9.853760827747688744e-02
3.144737390980773539e-01 -9.848369947024182558e-02 9.848369947025886750e-02
3.207632138800389221e-01 -9.842882548412533461e-02 9.842882548414265409e-02
3.270526886620004348e-01 -9.837298701176516724e-02 9.837298701178279203e-02
3.333421634439620029e-01 -9.831618475496398113e-02 9.831618475498189735e-02
3.396316382259235711e-01 -9.825841942465987633e-02 9.825841942467808399e-02
3.459211130078850838e-01 -9.819969174091372488e-02 9.819969174093222397e-02
3.522105877898466519e-01 -9.814000243289641712e-02 9.814000243291520764e-02
3.585000625718082201e-01 -9.807935223887595533e-02 9.807935223889502341e-02
3.647895373537697328e-01 -9.801774190620458904e-02 9.801774190622393468e-02
3.710790121357313009e-01 -9.795517219130579767e-02 9.795517219132543474e-02
3.773684869176928691e-01 -9.789164385966127313e-02 9.789164385968118776e-02
3.836579616996543818e-01 -9.782715768579769433e-02 9.782715768581791427e-02
3.899474364816159500e-01 -9.776171445327369591e-02 9.776171445329417953e-02
3.962369112635774626e-01 -9.769531495466636517e-02 9.769531495468714022e-02
4.025263860455390308e-01 -9.762795999155816917e-02 9.762795999157923565e-02
4.088158608275005990e-01 -9.755965037452335453e-02 9.755965037454471245e-02
4.151053356094621116e-01 -9.749038692311458310e-02 9.749038692313621857e-02
4.213948103914236798e-01 -9.742017046584935946e-02 9.742017046587125861e-02
4.276842851733851925e-01 -9.734900184019636138e-02 9.734900184021855196e-02
4.339737599553467606e-01 -9.727688189256192275e-02 9.727688189258437701e-02
