Dv	E1	E2	E3	E4	E5	E6	E7	E8
2.052052052052051861e-03	-5.994550416405700771e-02	-5.811281619398180054e-02	6.041105511222370078e-02	6.217153947561376154e-02	-6.217153947561376154e-02	-6.041105511222370078e-02	5.811281619398180054e-02	5.994550416405700771e-02
2.257257257257257090e-03	-5.983363032374901247e-02	-5.799735435345157453e-02	6.052540202701955918e-02	6.228225392071319588e-02	-6.228225392071319588e-02	-6.052540202701955918e-02	5.799735435345157453e-02	5.983363032374901247e-02
2.462462462462462320e-03	-5.972170342016750594e-02	-5.788184155149223020e-02	6.063969365468407230e-02	6.239291094565704854e-02	-6.239291094565704854e-02	-6.063969365468407230e-02	5.788184155149223020e-02	5.972170342016750594e-02
2.667667667667667549e-03	-5.960972364272857510e-02	-5.776627797606644077e-02	6.075392978948643968e-02	6.250351034333150035e-02	-6.250351034333150035e-02	-6.075392978948643968e-02	5.776627797606644077e-02	5.960972364272857510e-02
2.872872872872872779e-03	-5.949769118014458513e-02	-5.765066381441155685e-02	6.086811022485469347e-02	6.261405190580741909e-02	-6.261405190580741909e-02	-6.086811022485469347e-02	5.765066381441155685e-02	5.949769118014458513e-02
3.078078078078078008e-03	-5.938560622035428394e-02	-5.753499925306210239e-02	6.098223475337749555e-02	6.272453542432095130e-02	-6.272453542432095130e-02	-6.098223475337749555e-02	5.753499925306210239e-02	5.938560622035428394e-02
3.283283283283283237e-03	-5.927346895069701693e-02	-5.741928447784293982e-02	6.109630316680795398e-02	6.283496068926333611e-02	-6.283496068926333611e-02	-6.109630316680795398e-02	5.741928447784293982e-02	5.927346895069701693e-02
3.488488488488488467e-03	-5.916127955773288483e-02	-5.730351967387076195e-02	6.121031525604142542e-02	6.294532749019132734e-02	-6.294532749019132734e-02	-6.121031525604142542e-02	5.730351967387076195e-02	5.916127955773288483e-02
3.693693693693693696e-03	-5.904903822735264873e-02	-5.718770502557142532e-02	6.132427081111743727e-02	6.305563561580321275e-02	-6.305563561580321275e-02	-6.132427081111743727e-02	5.718770502557142532e-02	5.904903822735264873e-02
3.898898898898898926e-03	-5.893674514474531861e-02	-5.707184071670741432e-02	6.143816962122362890e-02	6.316588485394590557e-02	-6.316588485394590557e-02	-6.143816962122362890e-02	5.707184071670741432e-02	5.893674514474531861e-02
4.104104104104103722e-03	-5.882440049441949731e-02	-5.695592693020049002e-02	6.155201147467305456e-02	6.327607499161147508e-02	-6.327607499161147508e-02	-6.155201147467305456e-02	5.695592693020049002e-02	5.882440049441949731e-02
4.309309309309308951e-03	-5.871200446019236852e-02	-5.683996384852355033e-02	6.166579615890652871e-02	6.338620581492074302e-02	-6.338620581492074302e-02	-6.166579615890652871e-02	5.683996384852355033e-02	5.871200446019236852e-02
4.514514514514514180e-03	-5.859955722520721055e-02	-5.672395165330335054e-02	6.177952346049615795e-02	6.349627710912178480e-02	-6.349627710912178480e-02	-6.177952346049615795e-02	5.672395165330335054e-02	5.859955722520721055e-02
4.719719719719719410e-03	-5.848705897192544440e-02	-5.660789052553649725e-02	6.189319316512147812e-02	6.360628865859475900e-02	-6.360628865859475900e-02	-6.189319316512147812e-02	5.660789052553649725e-02	5.848705897192544440e-02
4.924924924924924639e-03	-5.837450988214207964e-02	-5.649178064553835033e-02	6.200680505757382582e-02	6.371624024682878695e-02	-6.371624024682878695e-02	-6.200680505757382582e-02	5.649178064553835033e-02	5.837450988214207964e-02
5.130130130130129869e-03	-5.826191013697781806e-02	-5.637562219296216037e-02	6.212035892175837848e-02	6.382613165643445663e-02	-6.382613165643445663e-02	-6.212035892175837848e-02	5.637562219296216037e-02	5.826191013697781806e-02
5.335335335335335098e-03	-5.814925991689634532e-02	-5.625941534679647360e-02	6.223385454066897998e-02	6.393596266911971693e-02	-6.393596266911971693e-02	-6.223385454066897998e-02	5.625941534679647360e-02	5.814925991689634532e-02
5.540540540540540328e-03	-5.803655940169341609e-02	-5.614316028536159298e-02	6.234729169639922214e-02	6.404573306569653901e-02	-6.404573306569653901e-02	-6.234729169639922214e-02	5.614316028536159298e-02	5.803655940169341609e-02
