# phi  e_band1  e_band2  e_band3  e_band4
2.294509892066582124e-01 -6.329576429620027700e-02 -5.686701602392260635e-02 5.516686837523764736e-02 6.517841777665348002e-02
2.325941534423658641e-01 -6.335048168749932151e-02 -5.680907126475981395e-02 5.511031242009494652e-02 6.523423136316779114e-02
2.357373176780735158e-01 -6.340518482808765732e-02 -5.675111388384605771e-02 5.505374554361257278e-02 6.529002838102385131e-02
2.388804819137811675e-01 -6.345987369201648576e-02 -5.669314390419469968e-02 5.499716776532375534e-02 6.534580879927229247e-02
2.420236461494888192e-01 -6.351454825328298193e-02 -5.663516134877731589e-02 5.494057910472772283e-02 6.540157258689650865e-02
2.451668103851964708e-01 -6.356920848583040573e-02 -5.657716624052380738e-02 5.488397958128973797e-02 6.545731971281253114e-02
2.483099746209040948e-01 -6.362385436354757451e-02 -5.651915860232252509e-02 5.482736921444127803e-02 6.551305014586875086e-02
2.514531388566117465e-01 -6.367848586026900182e-02 -5.646113845702051964e-02 5.477074802358000705e-02 6.556876385484572411e-02
2.545963030923193982e-01 -6.373310294977442558e-02 -5.640310582742342344e-02 5.471411602807001867e-02 6.562446080845589502e-02
2.577394673280270498e-01 -6.378770560578894688e-02 -5.634506073629576978e-02 5.465747324724181538e-02 6.568014097534342899e-02
2.608826315637347015e-01 -6.384229380198262749e-02 -5.628700320636105536e-02 5.460081970039246807e-02 6.573580432408390739e-02
2.640257957994423532e-01 -6.389686751197032333e-02 -5.622893326030185129e-02 5.454415540678572705e-02 6.579145082318421656e-02
2.671689600351500049e-01 -6.395142670931164286e-02 -5.617085092075994879e-02 5.448748038565205676e-02 6.584708044108217306e-02
2.703121242708576566e-01 -6.400597136751058625e-02 -5.611275621033642858e-02 5.443079465618879537e-02 6.590269314614639884e-02
2.734552885065653083e-01 -6.406050146001555923e-02 -5.605464915159189682e-02 5.437409823756020333e-02 6.595828890667604361e-02
2.765984527422729045e-01 -6.411501696021902619e-02 -5.599652976704649898e-02 5.431739114889759523e-02 6.601386769090056283e-02
2.797416169779805561e-01 -6.416951784145745463e-02 -5.593839807918003088e-02 5.426067340929943694e-02 6.606942946697948182e-02
2.828847812136882078e-01 -6.422400407701103764e-02 -5.588025411043219537e-02 5.420394503783140805e-02 6.612497420300211814e-02
2.860279454493958595e-01 -6.427847564010349957e-02 -5.582209788320253302e-02 5.414720605352650595e-02 6.618050186698745674e-02
2.891711096851035112e-01 -6.433293250390205442e-02 -5.576392941985073431e-02 5.409045647538517076e-02 6.623601242688376134e-02
2.923142739208111629e-01 -6.438737464151711443e-02 -5.570574874269657029e-02 5.403369632237534775e-02 6.629150585056846345e-02
2.954574381565188146e-01 -6.444180202600198470e-02 -5.564755587402021170e-02 5.397692561343261225e-02 6.634698210584788480e-02
2.986006023922264663e-01 -6.449621463035298818e-02 -5.558935083606217353e-02 5.392014436746020434e-02 6.640244116045691813e-02
3.017437666279341180e-01 -6.455061242750896600e-02 -5.553113365102348153e-02 5.386335260332920927e-02 6.645788298205890232e-02
3.048869308636417697e-01 -6.460499539035131911e-02 -5.547290434106589424e-02 5.380655033987859909e-02 6.651330753824533093e-02
3.080300950993494213e-01 -6.465936349170364750e-02 -5.541466292831183360e-02 5.374973759591530204e-02 6.656871479653557466e-02
3.111732593350570175e-01 -6.471371670433165302e-02 -5.535640943484471804e-02 5.369291439021434131e-02 6.662410472437670095e-02
3.143164235707646692e-01 -6.476805500094298673e-02 -5.529814388270887920e-02 5.363608074151891836e-02 6.667947728914315475e-02
3.174595878064723209e-01 -6.482237835418691585e-02 -5.523986629390977704e-02 5.357923666854050304e-02 6.673483245813657816e-02
3.206027520421799726e-01 -6.487668673665432373e-02 -5.518157669041412472e-02 5.352238218995888919e-02 6.679017019858556059e-02
3.237459162778876243e-01 -6.493098012087730742e-02 -5.512327509414998578e-02 5.346551732442234028e-02 6.684549047764530572e-02
3.268890805135952760e-01 -6.498525847932916377e-02 -5.506496152700687124e-02 5.340864209054765888e-02 6.690079326239749269e-02
3.300322447493029276e-01 -6.503952178442409804e-02 -5.500663601083585069e-02 5.335175650692029065e-02 6.695607851984994308e-02
3.331754089850105793e-01 -6.509377000851708506e-02 -5.494829856744972568e-02 5.329486059209434523e-02 6.701134621693638493e-02
3.363185732207182310e-01 -6.514800312390355008e-02 -5.488994921862306448e-02 5.323795436459281133e-02 6.706659632051625852e-02
3.394617374564258827e-01 -6.520222110281938266e-02 -5.483158798609237550e-02 5.318103784290752895e-02 6.712182879737438324e-02
3.426049016921335344e-01 -6.525642391744053417e-02 -5.477321489155620449e-02 5.312411104549934898e-02 6.717704361422076331e-02
3.457480659278411861e-01 -6.531061153988300394e-02 -5.471482995667518306e-02 5.306717399079819569e-02 6.723224073769024089e-02
3.488912301635487823e-01 -6.536478394220238131e-02 -5.465643320307227854e-02 5.301022669720315689e-02 6.728742013434238500e-02
3.520343943992564339e-01 -6.541894109639402599e-02 -5.459802465233274532e-02 5.295326918308258801e-02 6.734258177066108908e-02
3.551775586349640856e-01 -6.547308297439247138e-02 -5.453960432600437475e-02 5.289630146677417460e-02 6.739772561305437670e-02
3.583207228706717373e-01 -6.552720954807145226e-02 -5.448117224559752975e-02 5.283932356658505025e-02 6.745285162785417954e-02
3.614638871063793890e-01 -6.558132078924371056e-02 -5.442272843258526283e-02 5.278233550079186598e-02 6.750795978131596264e-02
3.646070513420870407e-01 -6.563541666966064836e-02 -5.436427290840342014e-02 5.272533728764086658e-02 6.756305003961858568e-02
3.677502155777946924e-01 -6.568949716101228631e-02 -5.430580569445080802e-02 5.266832894534801551e-02 6.761812236886395600e-02
3.708933798135023441e-01 -6.574356223492697215e-02 -5.424732681208925544e-02 5.261131049209906430e-02 6.767317673507677878e-02
3.740365440492099958e-01 -6.579761186297110320e-02 -5.418883628264369035e-02 5.255428194604959413e-02 6.772821310420433505e-02
3.771797082849176475e-01 -6.585164601664912631e-02 -5.413033412740229228e-02 5.249724332532517551e-02 6.778323144211614859e-02
3.803228725206252991e-01 -6.590566466740313545e-02 -5.407182036761666588e-02 5.244019464802142372e-02 6.783823171460375001e-02
3.834660367563329508e-01 -6.595966778661271901e-02 -5.401329502450175762e-02 5.238313593220406822e-02 6.789321388738042695e-02
3.866092009920405470e-01 -6.601365534559486270e-02 -5.395475811923620274e-02 5.232606719590905675e-02 6.794817792608093265e-02
3.897523652277481987e-01 -6.606762731560354707e-02 -5.389620967296223503e-02 5.226898845714264552e-02 6.800312379626116677e-02
3.928955294634558504e-01 -6.612158366782967811e-02 -5.383764970678590889e-02 5.221189973388146166e-02 6.805805146339800882e-02
3.960386936991635021e-01 -6.617552437340082361e-02 -5.377907824177716872e-02 5.215480104407262119e-02 6.811296089288892963e-02
3.991818579348711538e-01 -6.622944940338103270e-02 -5.372049529896995301e-02 5.209769240563374981e-02 6.816785205005181092e-02
4.023250221705788054e-01 -6.628335872877058610e-02 -5.366190089936225677e-02 5.204057383645317725e-02 6.822272490012457058e-02
4.054681864062864571e-01 -6.633725232050578791e-02 -5.360329506391631887e-02 5.198344535438989555e-02 6.827757940826501004e-02
4.086113506419941088e-01 -6.639113014945877134e-02 -5.354467781355874006e-02 5.192630697727373956e-02 6.833241553955039793e-02
4.117545148777017605e-01 -6.644499218643727667e-02 -5.348604916918046903e-02 5.186915872290542850e-02 6.838723325897731742e-02
4.148976791134094122e-01 -6.649883840218442921e-02 -5.342740915163698284e-02 5.181200060905662153e-02 6.844203253146123600e-02
4.180408433491170639e-01 -6.655266876737848947e-02 -5.336875778174842572e-02 5.175483265347007034e-02 6.849681332183642224e-02
